# data-symbol baseline: POD/scalar/const globals still bound by a
# storage-less DATA_SYMBOL (should be real DATA defs). Frozen, down-only;
# drive to 0. Regenerate: python -m gruntz.audit.data_symbol --write-baseline
# rva	mangled	file
0x00251618	_g_appResHandle	StartUpPrompt.cpp
0x002856f8	_g_rasterEdgeR	DDrawPolyFill.cpp
0x002856f8	_g_rasterEdgeR	WarpTextureBlit.cpp
0x002a1708	_g_rasterVtxA	ImagePolyClip.cpp
0x002a21f8	_g_rasterVtxB	ImagePolyClip.cpp
0x002a2cf0	_g_rasterEdgeL	DDrawPolyFill.cpp
0x002a2cf0	_g_rasterEdgeL	WarpTextureBlit.cpp
0x002bf3bc	_g_engineFrameDelta	InGameTextUpdate.cpp
0x002bf3c0	_g_killCueClock	InGameTextUpdate.cpp
0x002bf408	?g_containerName@@3PADA	TypeKeyColl.cpp
