# MANUALLY MANAGED - the admitted retail .text partition: one row per
# function START (rva) plus its structural kind. No sizes and no names:
# a row's extent is DERIVED to the next row's rva (the last row ends at
# .text's virtual end), so it spans the function's whole contribution,
# trailing jump tables included. The exact CODE size of a byte-matched
# body lives on its claim - RVA(rva, size) in src/, or the size column
# of functions_zlib.tsv. kind: (empty) body | thunk (ILT/IAT glue) |
# eh (/GX funclet band) | helper (compiler 5-byte jmp forwarder, target
# re-proven from EXE bytes) | pad (non-code fill; partition bookkeeping).
# Initially admitted from the last Ghidra analysis export; boundary
# corrections are edited here. The build never regenerates this file and
# never consults a Ghidra database.
rva	kind
0x001bf4	thunk
0x001bf9	thunk
0x001bfe	thunk
0x001c0d	thunk
0x001c12	thunk
0x001c17	thunk
0x001c1c	thunk
0x001c21	thunk
0x001c26	thunk
0x001c3f	thunk
0x001c49	thunk
0x001c4e	thunk
0x001c58	thunk
0x001c6c	thunk
0x001c80	thunk
0x001c85	thunk
0x001c8a	thunk
0x001c99	thunk
0x001ca8	thunk
0x001cad	thunk
0x001cb7	thunk
0x001cbc	thunk
0x001cc1	thunk
0x001ccb	thunk
0x001cd0	thunk
0x001cd5	thunk
0x001cda	thunk
0x001cdf	thunk
0x001cee	thunk
0x001cf3	thunk
0x001cfd	thunk
0x001d02	thunk
0x001d07	thunk
0x001d16	thunk
0x001d20	thunk
0x001d25	thunk
0x001d2a	thunk
0x001d2f	thunk
0x001d39	thunk
0x001d3e	thunk
0x001d48	thunk
0x001d4d	thunk
0x001d57	thunk
0x001d5c	thunk
0x001d61	thunk
0x001d66	thunk
0x001d6b	thunk
0x001d70	thunk
0x001d75	thunk
0x001d7a	thunk
0x001d7f	thunk
0x001d84	thunk
0x001d89	thunk
0x001d98	thunk
0x001da7	thunk
0x001db6	thunk
0x001dc5	thunk
0x001dca	thunk
0x001de3	thunk
0x001de8	thunk
0x001ded	thunk
0x001df2	thunk
0x001df7	thunk
0x001e01	thunk
0x001e0b	thunk
0x001e15	thunk
0x001e1a	thunk
0x001e29	thunk
0x001e33	thunk
0x001e47	thunk
0x001e4c	thunk
0x001e51	thunk
0x001e60	thunk
0x001e65	thunk
0x001e6a	thunk
0x001e7e	thunk
0x001e88	thunk
0x001e8d	thunk
0x001e92	thunk
0x001e97	thunk
0x001ea6	thunk
0x001eab	thunk
0x001eb5	thunk
0x001eba	thunk
0x001ebf	thunk
0x001ec4	thunk
0x001ec9	thunk
0x001ed8	thunk
0x001edd	thunk
0x001ee2	thunk
0x001eec	thunk
0x001f00	thunk
0x001f1e	thunk
0x001f28	thunk
0x001f3c	thunk
0x001f41	thunk
0x001f46	thunk
0x001f4b	thunk
0x001f5a	thunk
0x001f5f	thunk
0x001f69	thunk
0x001f6e	thunk
0x001f7d	thunk
0x001f82	thunk
0x001f87	thunk
0x001f9b	thunk
0x001fa0	thunk
0x001fa5	thunk
0x001faa	thunk
0x001faf	thunk
0x001fb4	thunk
0x001fb9	thunk
0x001fbe	thunk
0x001fc8	thunk
0x001fcd	thunk
0x001fd2	thunk
0x001fdc	thunk
0x001fe1	thunk
0x001fe6	thunk
0x001feb	thunk
0x001ffa	thunk
0x001fff	thunk
0x002009	thunk
0x00201d	thunk
0x002027	thunk
0x00204a	thunk
0x002054	thunk
0x002059	thunk
0x002063	thunk
0x002068	thunk
0x00206d	thunk
0x002077	thunk
0x00207c	thunk
0x002090	thunk
0x002095	thunk
0x0020a4	thunk
0x0020a9	thunk
0x0020b3	thunk
0x0020b8	thunk
0x0020bd	thunk
0x0020c7	thunk
0x0020cc	thunk
0x0020d1	thunk
0x0020db	thunk
0x0020e5	thunk
0x0020f4	thunk
0x0020fe	thunk
0x002103	thunk
0x00210d	thunk
0x002112	thunk
0x002117	thunk
0x002130	thunk
0x002135	thunk
0x00213a	thunk
0x00213f	thunk
0x002144	thunk
0x002149	thunk
0x00214e	thunk
0x002158	thunk
0x00215d	thunk
0x00216c	thunk
0x002171	thunk
0x002176	thunk
0x00217b	thunk
0x002185	thunk
0x002194	thunk
0x00219e	thunk
0x0021a3	thunk
0x0021ad	thunk
0x0021b2	thunk
0x0021b7	thunk
0x0021bc	thunk
0x0021c1	thunk
0x0021c6	thunk
0x0021cb	thunk
0x0021da	thunk
0x0021df	thunk
0x0021e4	thunk
0x0021ee	thunk
0x0021f3	thunk
0x002207	thunk
0x002216	thunk
0x00221b	thunk
0x002225	thunk
0x002239	thunk
0x00223e	thunk
0x002243	thunk
0x00224d	thunk
0x002261	thunk
0x00226b	thunk
0x002270	thunk
0x002275	thunk
0x00227a	thunk
0x002284	thunk
0x002289	thunk
0x00228e	thunk
0x002298	thunk
0x00229d	thunk
0x0022a2	thunk
0x0022b1	thunk
0x0022b6	thunk
0x0022bb	thunk
0x0022c0	thunk
0x0022c5	thunk
0x0022d4	thunk
0x0022d9	thunk
0x0022de	thunk
0x0022e3	thunk
0x0022ed	thunk
0x0022fc	thunk
0x002306	thunk
0x00230b	thunk
0x002310	thunk
0x00231a	thunk
0x00231f	thunk
0x002329	thunk
0x002338	thunk
0x00233d	thunk
0x002342	thunk
0x002347	thunk
0x002351	thunk
0x002356	thunk
0x00235b	thunk
0x002360	thunk
0x002365	thunk
0x002374	thunk
0x002379	thunk
0x00237e	thunk
0x002383	thunk
0x002388	thunk
0x00238d	thunk
0x0023a1	thunk
0x0023b0	thunk
0x0023b5	thunk
0x0023bf	thunk
0x0023d8	thunk
0x0023dd	thunk
0x0023ec	thunk
0x002400	thunk
0x002405	thunk
0x00240a	thunk
0x002423	thunk
0x002432	thunk
0x002437	thunk
0x00243c	thunk
0x002441	thunk
0x002446	thunk
0x00244b	thunk
0x002450	thunk
0x002455	thunk
0x00245a	thunk
0x00245f	thunk
0x002478	thunk
0x00247d	thunk
0x002482	thunk
0x002487	thunk
0x00248c	thunk
0x002496	thunk
0x0024a0	thunk
0x0024aa	thunk
0x0024b4	thunk
0x0024be	thunk
0x0024c3	thunk
0x0024c8	thunk
0x0024d7	thunk
0x0024e1	thunk
0x0024eb	thunk
0x0024f5	thunk
0x0024fa	thunk
0x002504	thunk
0x00250e	thunk
0x002513	thunk
0x002518	thunk
0x00251d	thunk
0x002522	thunk
0x002531	thunk
0x002536	thunk
0x00253b	thunk
0x002540	thunk
0x00254a	thunk
0x002559	thunk
0x00255e	thunk
0x002563	thunk
0x00256d	thunk
0x002577	thunk
0x00257c	thunk
0x002581	thunk
0x002586	thunk
0x00258b	thunk
0x002595	thunk
0x00259a	thunk
0x0025b8	thunk
0x0025c2	thunk
0x0025c7	thunk
0x0025e0	thunk
0x0025e5	thunk
0x0025f9	thunk
0x0025fe	thunk
0x002603	thunk
0x002612	thunk
0x002617	thunk
0x00261c	thunk
0x002626	thunk
0x00262b	thunk
0x00263a	thunk
0x002644	thunk
0x00264e	thunk
0x00265d	thunk
0x00266c	thunk
0x00267b	thunk
0x002685	thunk
0x00268a	thunk
0x00268f	thunk
0x002694	thunk
0x002699	thunk
0x00269e	thunk
0x0026a3	thunk
0x0026a8	thunk
0x0026b2	thunk
0x0026c1	thunk
0x0026c6	thunk
0x0026df	thunk
