file	line	owner	member	type	offset	bytes	member_alignment	owner_size	owner_alignment	previous	next	reference_sites	removal	disposition	references	history_query	preceding_pack_directives
include/DDrawMgr/LogicRecord.h	117	CLogicRecord	m_reservedb0	i32	0xb0	4	4	0x17c	4	m_reservedac	m_reservedb4	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:721; src/DDrawMgr/DDrawSurfacePair.cpp:800	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	118	CLogicRecord	m_reservedb4	i32	0xb4	4	4	0x17c	4	m_reservedb0	m_counter	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:722; src/DDrawMgr/DDrawSurfacePair.cpp:801	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	122	CLogicRecord	m_padc0	char[4]	0xc0	4	1	0x17c	4	m_speed	m_reservedc4	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:725; src/DDrawMgr/DDrawSurfacePair.cpp:804	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	123	CLogicRecord	m_reservedc4	i32	0xc4	4	4	0x17c	4	m_padc0	m_width	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:726; src/DDrawMgr/DDrawSurfacePair.cpp:805	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	126	CLogicRecord	m_reservedd0	RECT	0xd0	16	4	0x17c	4	m_height	m_reservede0	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:729; src/DDrawMgr/DDrawSurfacePair.cpp:808	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	127	CLogicRecord	m_reservede0	RECT	0xe0	16	4	0x17c	4	m_reservedd0	m_userRect1	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:730; src/DDrawMgr/DDrawSurfacePair.cpp:809	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	131	CLogicRecord	m_pad110	char[16]	0x110	16	1	0x17c	4	m_userRect2	m_reserved120	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:733; src/DDrawMgr/DDrawSurfacePair.cpp:812	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	132	CLogicRecord	m_reserved120	RECT	0x120	16	4	0x17c	4	m_pad110	m_sparkleDelay	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:734; src/DDrawMgr/DDrawSurfacePair.cpp:813	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	134	CLogicRecord	m_pad134	char[4]	0x134	4	1	0x17c	4	m_sparkleDelay	m_reserved138	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:736; src/DDrawMgr/DDrawSurfacePair.cpp:815	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	135	CLogicRecord	m_reserved138	i32	0x138	4	4	0x17c	4	m_pad134	m_reserved13c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:737; src/DDrawMgr/DDrawSurfacePair.cpp:816	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	136	CLogicRecord	m_reserved13c	i32	0x13c	4	4	0x17c	4	m_reserved138	m_reserved140	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:738; src/DDrawMgr/DDrawSurfacePair.cpp:817	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	137	CLogicRecord	m_reserved140	i32	0x140	4	4	0x17c	4	m_reserved13c	m_reserved144	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:739; src/DDrawMgr/DDrawSurfacePair.cpp:818	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	138	CLogicRecord	m_reserved144	i32	0x144	4	4	0x17c	4	m_reserved140	m_reserved148	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:740; src/DDrawMgr/DDrawSurfacePair.cpp:819	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	139	CLogicRecord	m_reserved148	i32	0x148	4	4	0x17c	4	m_reserved144	m_reserved14c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:741; src/DDrawMgr/DDrawSurfacePair.cpp:820	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	140	CLogicRecord	m_reserved14c	i32	0x14c	4	4	0x17c	4	m_reserved148	m_reserved150	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:742; src/DDrawMgr/DDrawSurfacePair.cpp:821	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	141	CLogicRecord	m_reserved150	i32	0x150	4	4	0x17c	4	m_reserved14c	m_reserved154	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:743; src/DDrawMgr/DDrawSurfacePair.cpp:822	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	142	CLogicRecord	m_reserved154	i32	0x154	4	4	0x17c	4	m_reserved150	m_reserved158	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:744; src/DDrawMgr/DDrawSurfacePair.cpp:823	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	143	CLogicRecord	m_reserved158	i32	0x158	4	4	0x17c	4	m_reserved154	m_reserved15c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:745; src/DDrawMgr/DDrawSurfacePair.cpp:824	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	144	CLogicRecord	m_reserved15c	i32	0x15c	4	4	0x17c	4	m_reserved158	m_reserved160	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:746; src/DDrawMgr/DDrawSurfacePair.cpp:825	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	145	CLogicRecord	m_reserved160	i32	0x160	4	4	0x17c	4	m_reserved15c	m_reserved164	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:747; src/DDrawMgr/DDrawSurfacePair.cpp:826	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	146	CLogicRecord	m_reserved164	i32	0x164	4	4	0x17c	4	m_reserved160	m_positionedSound	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:748; src/DDrawMgr/DDrawSurfacePair.cpp:827	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	148	CLogicRecord	m_reserved16c	i32	0x16c	4	4	0x17c	4	m_positionedSound	m_target	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Wwd/WwdGameObject.cpp:840	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DinMgr2/DirectInputMgr2.h	139	DIJoyState2Z	m_pad08	char[40]	0x8	40	1	0x110	4	m_lY	m_rgbButtons	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DinMgr2/DirectInputMgr2.h	none in header
include/DinMgr2/DirectInputMgr2.h	141	DIJoyState2Z	m_pad3a	char[214]	0x3a	214	1	0x110	4	m_rgbButtons		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DinMgr2/DirectInputMgr2.h	none in header
include/DinMgr2/DirectInputMgr2.h	180	CInputDevRoot	m_padc	char[16]	0xc	16	1	0x2b4	4	m_device2	m_deviceInfo	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DinMgr2/DirectInputMgr2.h	none in header
include/DinMgr2/DirectInputMgr2.h	252	CMouseDevice	m_pad2b8	char[16]	0x2b8	16	1	0x2c8	4	m_createFlags		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DinMgr2/DirectInputMgr2.h	none in header
include/Dsndmgr/SoundDevice.h	56	SoundDevice	m_reserved	char[96]	0x18	96	1	0x94	4	m_device	m_initialized	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Dsndmgr/SoundDevice.h	none in header
include/Gruntz/AniElement.h	15	CAniSource	m_pad00	char[8]	0x0	8	1	0x24	4		m_flags	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/AniElement.h	none in header
include/Gruntz/AniElement.h	20	CAniSource	m_pad14	char[12]	0x14	12	1	0x24	4	m_namelen	m_data	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/AniElement.h	none in header
include/Gruntz/AniRecordView.h	59	CAniRecordView	m_pad06	u16	0x6	2	2	0x34	4	m_flags	m_stepMode	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/AniRecordView.h	none in header
include/Gruntz/AniRecordView.h	68	CAniRecordView	m_reserved28	u16	0x28	2	2	0x34	4	m_positionDeltaY	m_pad2a	1	parse-error	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/AniRecord.cpp:41	git log --follow -- include/Gruntz/AniRecordView.h	none in header
include/Gruntz/AniRecordView.h	69	CAniRecordView	m_pad2a	u16	0x2a	2	2	0x34	4	m_reserved28	m_cueCount	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/AniRecordView.h	none in header
include/Gruntz/BattlezMapConfig.h	107	CBattlezMapConfig	m_reserved01c	i32	0x1c	4	4	0x1e8	4	m_playerIndex	m_reserved020	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:115; src/Gruntz/BattlezMapConfig.cpp:2292; src/Gruntz/BattlezMapConfig.cpp:2382	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	108	CBattlezMapConfig	m_reserved020	i32	0x20	4	4	0x1e8	4	m_reserved01c	m_reserved024	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:116; src/Gruntz/BattlezMapConfig.cpp:2293; src/Gruntz/BattlezMapConfig.cpp:2383	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	109	CBattlezMapConfig	m_reserved024	i32	0x24	4	4	0x1e8	4	m_reserved020	m_reserved028	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:117; src/Gruntz/BattlezMapConfig.cpp:2294; src/Gruntz/BattlezMapConfig.cpp:2384	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	110	CBattlezMapConfig	m_reserved028	i32	0x28	4	4	0x1e8	4	m_reserved024	m_reserved02c	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:118; src/Gruntz/BattlezMapConfig.cpp:2295; src/Gruntz/BattlezMapConfig.cpp:2385	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	111	CBattlezMapConfig	m_reserved02c	i32	0x2c	4	4	0x1e8	4	m_reserved028	m_defenderChance	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:121; src/Gruntz/BattlezMapConfig.cpp:2296; src/Gruntz/BattlezMapConfig.cpp:2386	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	113	CBattlezMapConfig	m_reserved034	i32	0x34	4	4	0x1e8	4	m_defenderChance	m_reserved038	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2298; src/Gruntz/BattlezMapConfig.cpp:2388	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	114	CBattlezMapConfig	m_reserved038	i32	0x38	4	4	0x1e8	4	m_reserved034	m_reserved03c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2299; src/Gruntz/BattlezMapConfig.cpp:2389	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	115	CBattlezMapConfig	m_reserved03c	i32	0x3c	4	4	0x1e8	4	m_reserved038	m_reserved040	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2300; src/Gruntz/BattlezMapConfig.cpp:2390	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	116	CBattlezMapConfig	m_reserved040	i32	0x40	4	4	0x1e8	4	m_reserved03c	m_reserved044	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2301; src/Gruntz/BattlezMapConfig.cpp:2391	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	117	CBattlezMapConfig	m_reserved044	i32	0x44	4	4	0x1e8	4	m_reserved040	m_gruntCreationTime	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2302; src/Gruntz/BattlezMapConfig.cpp:2392	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	144	CBattlezMapConfig	m_reserved088	i32	0x88	4	4	0x1e8	4	CBattlezMapConfig::(anonymous union at /home/sheep/Projects/gruntz/include/Gruntz/BattlezMapConfig.h:131:5)	m_defenderSearchRadiusX	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:129; src/Gruntz/BattlezMapConfig.cpp:2315; src/Gruntz/BattlezMapConfig.cpp:2405	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	149	CBattlezMapConfig	m_reserved09c	i32	0x9c	4	4	0x1e8	4	m_idleRouteLimitY	m_idleAttackWaypointDelay	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:141; src/Gruntz/BattlezMapConfig.cpp:2320; src/Gruntz/BattlezMapConfig.cpp:2410	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	152	CBattlezMapConfig	m_reserved0a8	i32	0xa8	4	4	0x1e8	4	m_defenderTargetMaxDistance	m_idleBurnRandX	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:130; src/Gruntz/BattlezMapConfig.cpp:2323; src/Gruntz/BattlezMapConfig.cpp:2413	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	163	CBattlezMapConfig	m_reserved0d8	i32	0xd8	4	4	0x1e8	4	m_marker	m_candArray	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2334; src/Gruntz/BattlezMapConfig.cpp:2424	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	171	CBattlezMapConfig	m_reserved104	CDWordArray	0x104	20	4	0x1e8	4	m_attackWaypoints	m_reserved118	6	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2342; src/Gruntz/BattlezMapConfig.cpp:2345; src/Gruntz/BattlezMapConfig.cpp:2437; src/Gruntz/BattlezMapConfig.cpp:2438; src/Gruntz/BattlezMapConfig.cpp:2441; src/Gruntz/BattlezMapConfig.cpp:357	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	172	CBattlezMapConfig	m_reserved118	CDWordArray	0x118	20	4	0x1e8	4	m_reserved104	m_reserved12c	6	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2349; src/Gruntz/BattlezMapConfig.cpp:2352; src/Gruntz/BattlezMapConfig.cpp:2445; src/Gruntz/BattlezMapConfig.cpp:2446; src/Gruntz/BattlezMapConfig.cpp:2449; src/Gruntz/BattlezMapConfig.cpp:358	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	174	CBattlezMapConfig	m_reserved12c	i32[4]	0x12c	16	4	0x1e8	4	m_reserved118	m_reserved13c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2357; src/Gruntz/BattlezMapConfig.cpp:2453	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
