rva	size	category	evidence
0x0016d000	0x189	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0016d790	0xb1	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0016d850	0x11e	GAME	engine code (refs=213 in / 0 dir32; no library signal)
0x0016f4a0	0x1da	GAME	RTTI vtable slot = CMovingLogic
0x00170210	0x118	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x00174e90	0x1c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00174eb0	0x1b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00174ed0	0x5d	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00174f30	0x30	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x00174f60	0x37	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00174fa0	0x3e	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001754f0	0x7b	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x00175570	0x7b	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x001755f0	0x82	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x00175680	0x85	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x00175780	0x3f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00176ad0	0x17	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x00176b30	0x1e5	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00176d20	0x71	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00176e70	0x4e	GAME	engine code (refs=3 in / 0 dir32; no library signal)
0x00177040	0x23	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00177400	0x76	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00177480	0x169	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00179270	0x89	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x001793b0	0x46	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x00179420	0x8a	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x001795a0	0xdb	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0017b510	0x55	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0017b570	0x24	GAME	engine code (refs=7 in / 0 dir32; no library signal)
0x0017b5a0	0x48	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x0017b5f0	0x249	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0017b840	0x53	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0017c6f0	0x9c	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x0017e230	0xc	GAME	engine code (refs=14 in / 0 dir32; no library signal)
0x0017e240	0x51	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0017e7c0	0x7a	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0017e990	0x6b	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0017ea00	0x4fc	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0017f9f0	0x4f	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0017fa40	0x1f3	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x0017fc40	0x11	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00180450	0x4f	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x00182610	0x2eb	GAME	engine code (refs=8 in / 0 dir32; no library signal)
0x001847a0	0xa	GAME	engine code (refs=0 in / 1 dir32; no library signal)
0x001847e0	0xa6	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x00184b70	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00184c10	0x136	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00184fb0	0x15	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x001853b0	0xa6	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00191d20	0xc9	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00191df0	0x137	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00191f30	0xaa	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x00191fe0	0x7e	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x00192120	0xb9	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x001921e0	0xb5	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x001922a0	0xb9	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00192480	0xbe	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00192540	0xc8	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00192610	0x13	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x00192630	0xae	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x001926e0	0x94	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x00192780	0xa4	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x00192830	0xfb	CRT_STL	stream-class neighbor(ostream); in iostream impl block
