category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x0171b0	202	greenfield	FUN_004171b0	FUN_004171b0	GetWindow;SendMessageA
winapi	0x0180e0	575	greenfield	FUN_004180e0	FUN_004180e0	SendMessageA
winapi	0x0183f0	46	greenfield	FUN_004183f0	FUN_004183f0	SendMessageA
winapi	0x019f50	178	greenfield	FUN_00419f50	FUN_00419f50	timeGetTime
winapi	0x01a700	1718	greenfield	FUN_0041a700	FUN_0041a700	CopyRect
winapi	0x01b690	1983	tracked	?UpdateBootyWalkingGruntz@EngineLabelBacklog@@YAXXZ	?UpdateBootyWalkingGruntz@EngineLabelBacklog@@YAXXZ	timeGetTime
winapi	0x01c210	1205	tracked	?CheckWarpLetterBonus@EngineLabelBacklog@@YAXXZ	?CheckWarpLetterBonus@EngineLabelBacklog@@YAXXZ	SetRect;timeGetTime
winapi	0x01c9d0	849	tracked	?ShowLevelCompleteMessage@EngineLabelBacklog@@YAXXZ	?ShowLevelCompleteMessage@EngineLabelBacklog@@YAXXZ	SetRect
winapi	0x01ce60	1104	tracked	?BuildBootyGruntIdleAnimation@EngineLabelBacklog@@YAXXZ	?BuildBootyGruntIdleAnimation@EngineLabelBacklog@@YAXXZ	PostMessageA
winapi	0x01f8a0	48	greenfield	FUN_0041f8a0	FUN_0041f8a0	PostMessageA
winapi	0x01f9b0	722	tracked	?StartUpPrompt@EngineLabelBacklog@@YAXXZ	?StartUpPrompt@EngineLabelBacklog@@YAXXZ	GetCurrentDirectoryA;MessageBoxA;Sleep
winapi	0x01fd70	69	tracked	?Stub_01fd70@EngineLabelBacklog@@YAXXZ	?Stub_01fd70@EngineLabelBacklog@@YAXXZ	OpenFile
winapi	0x01fde0	393	tracked	?CheckCdRomRegistry@WinAPI@Utils@@YADXZ	?CheckCdRomRegistry@WinAPI@Utils@@YADXZ	GetCurrentDirectoryA
winapi	0x020f40	392	tracked	?LoadChatBoxSprite@EngineLabelBacklog@@YAXXZ	?LoadChatBoxSprite@EngineLabelBacklog@@YAXXZ	SetBkColor;SetBkMode;SetTextColor
winapi	0x021f20	354	greenfield	FUN_00421f20	FUN_00421f20	DrawTextA
winapi	0x022160	398	greenfield	FUN_00422160	FUN_00422160	GetAsyncKeyState;SelectObject
winapi	0x022360	756	greenfield	FUN_00422360	FUN_00422360	DrawTextA;SelectObject;SetTextColor
winapi	0x022810	554	greenfield	FUN_00422810	FUN_00422810	DrawTextA;SelectObject;SetBkColor;SetBkMode;SetTextColor
winapi	0x022e60	446	tracked	?LoadCheatConfig@EngineLabelBacklog@@YAXXZ	?LoadCheatConfig@EngineLabelBacklog@@YAXXZ	GetLocalTime
winapi	0x023090	252	greenfield	FUN_00423090	FUN_00423090	PostMessageA
winapi	0x0267c0	10269	greenfield	FUN_004267c0	FUN_004267c0	IntersectRect;PtInRect
winapi	0x02a570	1222	greenfield	FUN_0042a570	FUN_0042a570	IntersectRect
winapi	0x02ab80	350	greenfield	FUN_0042ab80	FUN_0042ab80	PtInRect
winapi	0x02ae00	1070	greenfield	FUN_0042ae00	FUN_0042ae00	IntersectRect
winapi	0x02b340	170	greenfield	FUN_0042b340	FUN_0042b340	IntersectRect
winapi	0x02c140	999	greenfield	FUN_0042c140	FUN_0042c140	IntersectRect;PtInRect
winapi	0x02c690	3508	greenfield	FUN_0042c690	FUN_0042c690	IntersectRect
winapi	0x02dfa0	805	greenfield	FUN_0042dfa0	FUN_0042dfa0	IntersectRect
winapi	0x02e3a0	2017	greenfield	FUN_0042e3a0	FUN_0042e3a0	PtInRect
winapi	0x031ca0	754	greenfield	FUN_00431ca0	FUN_00431ca0	IntersectRect
winapi	0x032060	1981	greenfield	FUN_00432060	FUN_00432060	IntersectRect
winapi	0x032ce0	1096	greenfield	FUN_00432ce0	FUN_00432ce0	IntersectRect
winapi	0x033520	3011	greenfield	FUN_00433520	FUN_00433520	IntersectRect
winapi	0x036d00	64	greenfield	FUN_00436d00	FUN_00436d00	EnableWindow;GetDlgItem;IsDlgButtonChecked
winapi	0x036d50	60	greenfield	FUN_00436d50	FUN_00436d50	EnableWindow;GetDlgItem;IsDlgButtonChecked
winapi	0x036da0	64	greenfield	FUN_00436da0	FUN_00436da0	EnableWindow;GetDlgItem;IsDlgButtonChecked
winapi	0x036e10	38	greenfield	FUN_00436e10	FUN_00436e10	IsDlgButtonChecked
winapi	0x036ec0	65	greenfield	FUN_00436ec0	FUN_00436ec0	GetDlgItem;GetScrollInfo
winapi	0x036f30	276	tracked	?LoadVideoResolutionConfig@@YAXPAXHH@Z	?LoadVideoResolutionConfig@@YAXPAXHH@Z	SendMessageA;SetWindowTextA
winapi	0x0370a0	241	tracked	?SaveVideoResolutionConfig@@YAXPAX0@Z	?SaveVideoResolutionConfig@@YAXPAX0@Z	GetDlgItem;SendMessageA;SetWindowTextA
